hfdst;icd_code;diagnose;nis_code;arrondissement_van_woonplaats_van_de_patiënt;klass_hosp;dag_hosp
1 - Infectieziekten en parasitaire ziekten (001-139);1;Cholera;33.0;Ieper;< 5;0
1 - Infectieziekten en parasitaire ziekten (001-139);2;Typhus abdominalis en paratyfus;21.0;Brussel-Hoofdstad;8;0
1 - Infectieziekten en parasitaire ziekten (001-139);2;Typhus abdominalis en paratyfus;23.0;Halle-Vilvoorde;< 5;0
1 - Infectieziekten en parasitaire ziekten (001-139);2;Typhus abdominalis en paratyfus;25.0;Nijvel;< 5;0
1 - Infectieziekten en parasitaire ziekten (001-139);2;Typhus abdominalis en paratyfus;51.0;Aat;< 5;0
1 - Infectieziekten en parasitaire ziekten (001-139);2;Typhus abdominalis en paratyfus;52.0;Charleroi;< 5;0
1 - Infectieziekten en parasitaire ziekten (001-139);2;Typhus abdominalis en paratyfus;56.0;Thuin;< 5;0
1 - Infectieziekten en parasitaire ziekten (001-139);3;Andere salmonella infecties;0.0;Buitenlands verblijf;8;0
1 - Infectieziekten en parasitaire ziekten (001-139);3;Andere salmonella infecties;11.0;Antwerpen;63;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);3;Andere salmonella infecties;12.0;Mechelen;21;0
1 - Infectieziekten en parasitaire ziekten (001-139);3;Andere salmonella infecties;13.0;Turnhout;25;0
1 - Infectieziekten en parasitaire ziekten (001-139);3;Andere salmonella infecties;21.0;Brussel-Hoofdstad;50;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);3;Andere salmonella infecties;23.0;Halle-Vilvoorde;47;0
1 - Infectieziekten en parasitaire ziekten (001-139);3;Andere salmonella infecties;24.0;Leuven;20;0
1 - Infectieziekten en parasitaire ziekten (001-139);3;Andere salmonella infecties;25.0;Nijvel;14;0
1 - Infectieziekten en parasitaire ziekten (001-139);3;Andere salmonella infecties;31.0;Brugge;34;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);3;Andere salmonella infecties;32.0;Diksmuide;6;0
1 - Infectieziekten en parasitaire ziekten (001-139);3;Andere salmonella infecties;33.0;Ieper;10;0
1 - Infectieziekten en parasitaire ziekten (001-139);3;Andere salmonella infecties;34.0;Kortrijk;36;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);3;Andere salmonella infecties;35.0;Oostende;15;0
1 - Infectieziekten en parasitaire ziekten (001-139);3;Andere salmonella infecties;36.0;Roeselare;24;0
1 - Infectieziekten en parasitaire ziekten (001-139);3;Andere salmonella infecties;37.0;Tielt;19;0
1 - Infectieziekten en parasitaire ziekten (001-139);3;Andere salmonella infecties;38.0;Veurne;6;0
1 - Infectieziekten en parasitaire ziekten (001-139);3;Andere salmonella infecties;41.0;Aalst;36;0
1 - Infectieziekten en parasitaire ziekten (001-139);3;Andere salmonella infecties;42.0;Dendermonde;31;0
1 - Infectieziekten en parasitaire ziekten (001-139);3;Andere salmonella infecties;43.0;Eeklo;10;0
1 - Infectieziekten en parasitaire ziekten (001-139);3;Andere salmonella infecties;44.0;Gent;44;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);3;Andere salmonella infecties;45.0;Oudenaarde;20;0
1 - Infectieziekten en parasitaire ziekten (001-139);3;Andere salmonella infecties;46.0;Sint-Niklaas;24;0
1 - Infectieziekten en parasitaire ziekten (001-139);3;Andere salmonella infecties;51.0;Aat;6;0
1 - Infectieziekten en parasitaire ziekten (001-139);3;Andere salmonella infecties;52.0;Charleroi;26;0
1 - Infectieziekten en parasitaire ziekten (001-139);3;Andere salmonella infecties;53.0;Bergen;7;0
1 - Infectieziekten en parasitaire ziekten (001-139);3;Andere salmonella infecties;54.0;Moeskroen;6;0
1 - Infectieziekten en parasitaire ziekten (001-139);3;Andere salmonella infecties;55.0;Zinnik;15;0
1 - Infectieziekten en parasitaire ziekten (001-139);3;Andere salmonella infecties;56.0;Thuin;12;0
1 - Infectieziekten en parasitaire ziekten (001-139);3;Andere salmonella infecties;57.0;Doornik;8;0
1 - Infectieziekten en parasitaire ziekten (001-139);3;Andere salmonella infecties;61.0;Hoei;< 5;0
1 - Infectieziekten en parasitaire ziekten (001-139);3;Andere salmonella infecties;62.0;Luik;30;0
1 - Infectieziekten en parasitaire ziekten (001-139);3;Andere salmonella infecties;63.0;Verviers;17;0
1 - Infectieziekten en parasitaire ziekten (001-139);3;Andere salmonella infecties;64.0;Borgworm;< 5;0
1 - Infectieziekten en parasitaire ziekten (001-139);3;Andere salmonella infecties;71.0;Hasselt;9;0
1 - Infectieziekten en parasitaire ziekten (001-139);3;Andere salmonella infecties;72.0;Maaseik;8;0
1 - Infectieziekten en parasitaire ziekten (001-139);3;Andere salmonella infecties;73.0;Tongeren;8;0
1 - Infectieziekten en parasitaire ziekten (001-139);3;Andere salmonella infecties;83.0;Marche-en-Famenne;< 5;0
1 - Infectieziekten en parasitaire ziekten (001-139);3;Andere salmonella infecties;84.0;Neufchâteau;5;0
1 - Infectieziekten en parasitaire ziekten (001-139);3;Andere salmonella infecties;85.0;Virton;< 5;0
1 - Infectieziekten en parasitaire ziekten (001-139);3;Andere salmonella infecties;91.0;Dinant;< 5;0
1 - Infectieziekten en parasitaire ziekten (001-139);3;Andere salmonella infecties;92.0;Namen;15;0
1 - Infectieziekten en parasitaire ziekten (001-139);3;Andere salmonella infecties;93.0;Philippeville;6;0
1 - Infectieziekten en parasitaire ziekten (001-139);4;Shigellose;0.0;Buitenlands verblijf;< 5;0
1 - Infectieziekten en parasitaire ziekten (001-139);4;Shigellose;11.0;Antwerpen;17;0
1 - Infectieziekten en parasitaire ziekten (001-139);4;Shigellose;12.0;Mechelen;< 5;0
1 - Infectieziekten en parasitaire ziekten (001-139);4;Shigellose;13.0;Turnhout;< 5;0
1 - Infectieziekten en parasitaire ziekten (001-139);4;Shigellose;21.0;Brussel-Hoofdstad;< 5;0
1 - Infectieziekten en parasitaire ziekten (001-139);4;Shigellose;23.0;Halle-Vilvoorde;< 5;0
1 - Infectieziekten en parasitaire ziekten (001-139);4;Shigellose;24.0;Leuven;< 5;0
1 - Infectieziekten en parasitaire ziekten (001-139);4;Shigellose;31.0;Brugge;< 5;0
1 - Infectieziekten en parasitaire ziekten (001-139);4;Shigellose;34.0;Kortrijk;< 5;0
1 - Infectieziekten en parasitaire ziekten (001-139);4;Shigellose;35.0;Oostende;< 5;0
1 - Infectieziekten en parasitaire ziekten (001-139);4;Shigellose;36.0;Roeselare;< 5;0
1 - Infectieziekten en parasitaire ziekten (001-139);4;Shigellose;42.0;Dendermonde;< 5;0
1 - Infectieziekten en parasitaire ziekten (001-139);4;Shigellose;44.0;Gent;< 5;0
1 - Infectieziekten en parasitaire ziekten (001-139);4;Shigellose;45.0;Oudenaarde;< 5;0
1 - Infectieziekten en parasitaire ziekten (001-139);4;Shigellose;46.0;Sint-Niklaas;< 5;0
1 - Infectieziekten en parasitaire ziekten (001-139);4;Shigellose;57.0;Doornik;< 5;0
1 - Infectieziekten en parasitaire ziekten (001-139);4;Shigellose;61.0;Hoei;< 5;0
1 - Infectieziekten en parasitaire ziekten (001-139);4;Shigellose;62.0;Luik;8;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);4;Shigellose;64.0;Borgworm;< 5;0
1 - Infectieziekten en parasitaire ziekten (001-139);4;Shigellose;72.0;Maaseik;< 5;0
1 - Infectieziekten en parasitaire ziekten (001-139);5;Andere bacteriële voedselvergiftiging;0.0;Buitenlands verblijf;8;0
1 - Infectieziekten en parasitaire ziekten (001-139);5;Andere bacteriële voedselvergiftiging;11.0;Antwerpen;15;0
1 - Infectieziekten en parasitaire ziekten (001-139);5;Andere bacteriële voedselvergiftiging;12.0;Mechelen;8;0
1 - Infectieziekten en parasitaire ziekten (001-139);5;Andere bacteriële voedselvergiftiging;13.0;Turnhout;20;0
1 - Infectieziekten en parasitaire ziekten (001-139);5;Andere bacteriële voedselvergiftiging;21.0;Brussel-Hoofdstad;23;0
1 - Infectieziekten en parasitaire ziekten (001-139);5;Andere bacteriële voedselvergiftiging;23.0;Halle-Vilvoorde;6;0
1 - Infectieziekten en parasitaire ziekten (001-139);5;Andere bacteriële voedselvergiftiging;24.0;Leuven;17;0
1 - Infectieziekten en parasitaire ziekten (001-139);5;Andere bacteriële voedselvergiftiging;25.0;Nijvel;< 5;0
1 - Infectieziekten en parasitaire ziekten (001-139);5;Andere bacteriële voedselvergiftiging;31.0;Brugge;< 5;0
1 - Infectieziekten en parasitaire ziekten (001-139);5;Andere bacteriële voedselvergiftiging;32.0;Diksmuide;< 5;0
1 - Infectieziekten en parasitaire ziekten (001-139);5;Andere bacteriële voedselvergiftiging;33.0;Ieper;< 5;0
1 - Infectieziekten en parasitaire ziekten (001-139);5;Andere bacteriële voedselvergiftiging;34.0;Kortrijk;9;0
1 - Infectieziekten en parasitaire ziekten (001-139);5;Andere bacteriële voedselvergiftiging;35.0;Oostende;< 5;0
1 - Infectieziekten en parasitaire ziekten (001-139);5;Andere bacteriële voedselvergiftiging;36.0;Roeselare;< 5;0
1 - Infectieziekten en parasitaire ziekten (001-139);5;Andere bacteriële voedselvergiftiging;41.0;Aalst;16;0
1 - Infectieziekten en parasitaire ziekten (001-139);5;Andere bacteriële voedselvergiftiging;42.0;Dendermonde;6;0
1 - Infectieziekten en parasitaire ziekten (001-139);5;Andere bacteriële voedselvergiftiging;43.0;Eeklo;< 5;0
1 - Infectieziekten en parasitaire ziekten (001-139);5;Andere bacteriële voedselvergiftiging;44.0;Gent;7;0
1 - Infectieziekten en parasitaire ziekten (001-139);5;Andere bacteriële voedselvergiftiging;45.0;Oudenaarde;< 5;0
1 - Infectieziekten en parasitaire ziekten (001-139);5;Andere bacteriële voedselvergiftiging;46.0;Sint-Niklaas;9;0
1 - Infectieziekten en parasitaire ziekten (001-139);5;Andere bacteriële voedselvergiftiging;51.0;Aat;< 5;0
1 - Infectieziekten en parasitaire ziekten (001-139);5;Andere bacteriële voedselvergiftiging;52.0;Charleroi;9;0
1 - Infectieziekten en parasitaire ziekten (001-139);5;Andere bacteriële voedselvergiftiging;53.0;Bergen;6;0
1 - Infectieziekten en parasitaire ziekten (001-139);5;Andere bacteriële voedselvergiftiging;54.0;Moeskroen;7;0
1 - Infectieziekten en parasitaire ziekten (001-139);5;Andere bacteriële voedselvergiftiging;55.0;Zinnik;< 5;0
1 - Infectieziekten en parasitaire ziekten (001-139);5;Andere bacteriële voedselvergiftiging;56.0;Thuin;7;0
1 - Infectieziekten en parasitaire ziekten (001-139);5;Andere bacteriële voedselvergiftiging;57.0;Doornik;< 5;0
1 - Infectieziekten en parasitaire ziekten (001-139);5;Andere bacteriële voedselvergiftiging;61.0;Hoei;< 5;0
1 - Infectieziekten en parasitaire ziekten (001-139);5;Andere bacteriële voedselvergiftiging;62.0;Luik;19;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);5;Andere bacteriële voedselvergiftiging;63.0;Verviers;6;0
1 - Infectieziekten en parasitaire ziekten (001-139);5;Andere bacteriële voedselvergiftiging;71.0;Hasselt;10;0
1 - Infectieziekten en parasitaire ziekten (001-139);5;Andere bacteriële voedselvergiftiging;72.0;Maaseik;< 5;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);5;Andere bacteriële voedselvergiftiging;73.0;Tongeren;< 5;0
1 - Infectieziekten en parasitaire ziekten (001-139);5;Andere bacteriële voedselvergiftiging;81.0;Aarlen;< 5;0
1 - Infectieziekten en parasitaire ziekten (001-139);5;Andere bacteriële voedselvergiftiging;82.0;Bastenaken;< 5;0
1 - Infectieziekten en parasitaire ziekten (001-139);5;Andere bacteriële voedselvergiftiging;84.0;Neufchâteau;< 5;0
1 - Infectieziekten en parasitaire ziekten (001-139);5;Andere bacteriële voedselvergiftiging;91.0;Dinant;< 5;0
1 - Infectieziekten en parasitaire ziekten (001-139);5;Andere bacteriële voedselvergiftiging;92.0;Namen;< 5;0
1 - Infectieziekten en parasitaire ziekten (001-139);5;Andere bacteriële voedselvergiftiging;93.0;Philippeville;< 5;0
1 - Infectieziekten en parasitaire ziekten (001-139);6;Amoebiasis;0.0;Buitenlands verblijf;< 5;0
1 - Infectieziekten en parasitaire ziekten (001-139);6;Amoebiasis;11.0;Antwerpen;< 5;0
