chap;code_icd;diagnostic;hosp_class;hosp_de_jour
I - Certaines maladies infectieuses et parasitaires (A00-B99);A00;choléra;< 5;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);A01;fièvres typhoïde et paratyphoïde;19;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);A02;autres infections à Salmonella;714;< 5
I - Certaines maladies infectieuses et parasitaires (A00-B99);A03;shigellose;58;< 5
I - Certaines maladies infectieuses et parasitaires (A00-B99);A04;autres infections intestinales bactériennes;3360;112
I - Certaines maladies infectieuses et parasitaires (A00-B99);A05;autres intoxications bactériennes d'origine alimentaire , non classées ailleurs;213;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);A06;amibiase;11;< 5
I - Certaines maladies infectieuses et parasitaires (A00-B99);A07;autres maladies intestinales à protozoaires;236;58
I - Certaines maladies infectieuses et parasitaires (A00-B99);A08;infections virales et autres infections intestinales spécifiées;8580;58
I - Certaines maladies infectieuses et parasitaires (A00-B99);A09;diarrhée et gastro-entérite d'origine présumée infectieuse;3630;384
I - Certaines maladies infectieuses et parasitaires (A00-B99);A15;tuberculose de l'appareil respiratoire;720;109
I - Certaines maladies infectieuses et parasitaires (A00-B99);A17;tuberculose du système nerveux;11;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);A18;tuberculose d'autres organes;168;34
I - Certaines maladies infectieuses et parasitaires (A00-B99);A19;tuberculose miliaire;33;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);A20;peste;0;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);A21;tularémie;0;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);A22;charbon;< 5;< 5
I - Certaines maladies infectieuses et parasitaires (A00-B99);A23;brucellose;5;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);A24;morve et mélioïdose;0;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);A25;fièvres causées par morsure de rat;0;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);A26;érysipéloïde;20;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);A27;leptospirose;20;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);A28;autres anthropozoonoses bactériennes, non classées ailleurs;69;29
I - Certaines maladies infectieuses et parasitaires (A00-B99);A30;lèpre [maladie de Hansen];0;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);A31;infections dues à d'autres mycobactéries;66;36
